state,state_code,rural_share_of_adults,region
Chandigarh,04,0.0,Small state / UT
Mizoram,15,0.5156849790036984,Northeast
Delhi,07,0.0343230199252283,Small state / UT
Sikkim,11,0.7205367644222056,Northeast
D&N Haveli & Daman & Diu,25,0.2483958517031631,Small state / UT
Himachal Pradesh,02,0.8678441957951475,Hill states
Telangana,36,0.5411981591925011,Other
Karnataka,29,0.5789574528783513,Other
Puducherry,34,0.3943141212055182,Small state / UT
Ladakh,37,0.784147052821677,Hill states
Manipur,14,0.6917003217362577,Northeast
Kerala,32,0.4900938867843169,Other
Haryana,06,0.5788668437671155,Other
Jammu & Kashmir,01,0.7618345579723902,Hill states
Maharashtra,27,0.521686097749532,Other
Goa,30,0.4823314767596032,Small state / UT
Lakshadweep,31,0.305720725580888,Small state / UT
Andhra Pradesh,28,0.6661777274067513,Other
Uttarakhand,05,0.6269457062920331,Hill states
Meghalaya,17,0.8262629810293275,Northeast
Nagaland,13,0.6063743837464738,Northeast
Tamil Nadu,33,0.5404541941620395,Other
Assam,18,0.8642276925457132,Northeast
Arunachal Pradesh,12,0.7888147697701732,Northeast
Gujarat,24,0.4876546003726842,Other
Punjab,03,0.5924646611760698,Other
Rajasthan,08,0.7187930455255379,Other
Madhya Pradesh,23,0.6954470244148453,Other
Andaman & N. Islands,35,0.6042214724278161,Small state / UT
Bihar,10,0.8810049676340078,Other
Jharkhand,20,0.7880583823953089,Other
Uttar Pradesh,09,0.7441110759734144,Other
Odisha,21,0.8318460785082125,Other
Chhattisgarh,22,0.8076428137479086,Other
West Bengal,19,0.6885377177281591,Other
Tripura,16,0.7590779189103449,Northeast
