state,sector,age_band,sex,adults,capable_adults,excluded_adults,sample_n
Uttar Pradesh,Rural,45-59,Female,9480878.53,760518.0,8720360.530000001,761.0
Uttar Pradesh,Rural,15-24,Female,13658224.69,5731617.51,7926607.180000002,1088.0
Uttar Pradesh,Rural,45-59,Male,9956358.27,2200839.77,7755518.5,802.0
Uttar Pradesh,Rural,25-34,Female,11435917.11,3839111.23,7596805.879999999,936.0
Uttar Pradesh,Rural,35-44,Female,8975347.5,1792292.67,7183054.83,713.0
Uttar Pradesh,Rural,60+,Female,6171054.92,225485.06,5945569.86,504.0
Uttar Pradesh,Rural,60+,Male,6217862.55,606759.1599999999,5611103.39,523.0
Bihar,Rural,15-24,Female,9191337.81,3712230.71,5479107.099999999,731.0
West Bengal,Rural,45-59,Female,5730394.4,264783.5,5465610.9,396.0
Uttar Pradesh,Rural,15-24,Male,15739879.02,10512229.88,5227649.139999999,1246.0
Uttar Pradesh,Rural,35-44,Male,8941763.32,4035385.49,4906377.83,705.0
Maharashtra,Rural,45-59,Female,5402146.61,530684.2,4871462.41,548.0
Bihar,Rural,45-59,Female,5550747.609999999,765242.07,4785505.539999999,419.0
Bihar,Rural,35-44,Female,5922179.33,1210457.96,4711721.37,466.0
Bihar,Rural,25-34,Female,7269744.220000001,2815027.06,4454717.16,550.0
West Bengal,Rural,45-59,Male,5227073.4,1219681.11,4007392.29,364.0
West Bengal,Rural,25-34,Female,5792295.17,1806746.71,3985548.46,410.0
West Bengal,Rural,60+,Male,4213387.68,301143.42000000004,3912244.26,295.0
Bihar,Rural,45-59,Male,5509757.98,1729549.65,3780208.330000001,417.0
Maharashtra,Rural,60+,Male,4088638.45,476415.99,3612222.46,453.0
Maharashtra,Rural,60+,Female,3682056.69,122937.79,3559118.9000000004,419.0
West Bengal,Rural,35-44,Female,4303240.16,757991.01,3545249.1500000004,304.0
Bihar,Rural,60+,Male,3962439.94,473256.2,3489183.74,303.0
West Bengal,Rural,15-24,Female,5637750.04,2257090.1,3380659.94,392.0
Uttar Pradesh,Rural,25-34,Male,10610952.82,7244340.72,3366612.100000001,876.0
West Bengal,Rural,60+,Female,3421459.95,61185.31,3360274.64,236.0
Madhya Pradesh,Rural,45-59,Female,3610527.68,293624.17,3316903.51,344.0
Tamil Nadu,Rural,45-59,Female,3794325.77,497655.20000000007,3296670.57,277.0
Maharashtra,Rural,45-59,Male,5500683.09,2208772.27,3291910.82,533.0
Bihar,Rural,60+,Female,3402999.1,126967.51,3276031.5900000003,262.0
Maharashtra,Rural,35-44,Female,4036645.270000001,770643.96,3266001.3100000005,427.0
Madhya Pradesh,Rural,45-59,Male,4197847.0600000005,1044003.67,3153843.3900000006,395.0
Madhya Pradesh,Rural,35-44,Female,3698739.26,580630.8,3118108.46,343.0
Tamil Nadu,Rural,60+,Female,2946344.27,35440.130000000005,2910904.14,214.0
Rajasthan,Rural,60+,Female,2943613.66,119806.11,2823807.5500000003,293.0
Karnataka,Rural,45-59,Female,3676105.74,868056.97,2808048.7700000005,317.0
Andhra Pradesh,Rural,45-59,Female,3261222.0700000003,468287.47,2792934.6,278.0
Madhya Pradesh,Rural,25-34,Female,3895040.4,1144432.2999999998,2750608.100000001,379.0
Rajasthan,Rural,45-59,Female,3119959.93,393538.2,2726421.7299999995,315.0
Odisha,Rural,45-59,Female,3214737.1100000003,489035.73,2725701.3800000004,268.0
Uttar Pradesh,Urban,45-59,Female,3432518.41,724037.85,2708480.56,447.0
Maharashtra,Urban,45-59,Female,4609918.84,1915404.9,2694513.94,443.0
Bihar,Rural,15-24,Male,9540248.2,6935719.529999999,2604528.67,751.0
Maharashtra,Urban,60+,Female,3254374.6100000003,672869.71,2581504.9000000004,289.0
Rajasthan,Rural,35-44,Female,3150039.08,608807.44,2541231.64,305.0
Gujarat,Rural,60+,Female,2628159.7800000003,122646.26,2505513.5200000005,279.0
Odisha,Rural,45-59,Male,3572869.8200000003,1068437.41,2504432.41,302.0
Gujarat,Rural,45-59,Female,2884245.03,394201.22,2490043.81,310.0
Madhya Pradesh,Rural,60+,Female,2558275.49,69677.26999999999,2488598.22,237.0
Tamil Nadu,Rural,60+,Male,2680506.0,232353.04,2448152.96,192.0
Bihar,Rural,35-44,Male,5642698.46,3212140.65,2430557.81,441.0
Tamil Nadu,Rural,45-59,Male,3448921.04,1048465.71,2400455.33,251.0
Rajasthan,Rural,25-34,Female,3821115.46,1425743.96,2395371.5,392.0
Madhya Pradesh,Rural,15-24,Female,4546979.18,2155130.43,2391848.7499999995,429.0
Rajasthan,Rural,60+,Male,2665826.01,318968.16000000003,2346857.85,273.0
West Bengal,Rural,35-44,Male,4604310.210000001,2258032.1,2346278.110000001,333.0
Tamil Nadu,Urban,45-59,Female,3362714.18,1060778.8200000003,2301935.36,276.0
Karnataka,Rural,60+,Female,2368674.13,118353.45,2250320.68,220.0
Maharashtra,Rural,25-34,Female,5012909.36,2777387.91,2235521.45,425.0
West Bengal,Urban,45-59,Female,2727311.1,492263.88,2235047.22,296.0
Odisha,Rural,35-44,Female,2690565.4400000004,465696.29,2224869.1500000004,238.0
Gujarat,Urban,45-59,Female,2937812.5700000003,794643.38,2143169.1900000004,213.0
Madhya Pradesh,Rural,60+,Male,2260176.27,125785.24,2134391.03,216.0
Karnataka,Rural,60+,Male,2398999.16,265826.24,2133172.92,224.0
Rajasthan,Rural,45-59,Male,3178932.7,1050188.75,2128743.95,320.0
Rajasthan,Rural,15-24,Female,3984798.77,1889140.17,2095658.6,398.0
Uttar Pradesh,Urban,45-59,Male,3638918.94,1546965.15,2091953.79,478.0
Maharashtra,Rural,15-24,Female,4657251.050000001,2596987.65,2060263.4000000008,433.0
Kerala,Rural,60+,Female,2200717.8200000003,152661.52000000002,2048056.3000000005,169.0
Tamil Nadu,Urban,60+,Female,2341273.7700000005,309590.16000000003,2031683.6100000003,207.0
Maharashtra,Urban,35-44,Female,5024954.89,3012337.8000000003,2012617.0899999996,423.0
Madhya Pradesh,Rural,35-44,Male,4007117.52,2006744.9,2000372.62,371.0
Assam,Rural,45-59,Female,2242717.75,262545.83,1980171.92,252.0
Gujarat,Rural,45-59,Male,2678503.17,713199.72,1965303.45,289.0
Andhra Pradesh,Rural,60+,Female,2061771.93,101721.15,1960050.7800000005,174.0
Uttar Pradesh,Urban,35-44,Female,3280050.17,1329402.2800000005,1950647.89,432.0
West Bengal,Rural,25-34,Male,5455524.640000001,3515153.66,1940370.9800000004,385.0
Odisha,Rural,60+,Female,2006091.94,80178.75,1925913.19,175.0
Tamil Nadu,Rural,35-44,Female,3034355.78,1129991.61,1904364.1699999997,228.0
West Bengal,Urban,60+,Female,2002636.41,99628.03,1903008.38,216.0
Uttar Pradesh,Urban,15-24,Female,4074487.54,2188385.01,1886102.53,551.0
Uttar Pradesh,Urban,25-34,Female,4006036.45,2123248.54,1882787.91,535.0
Gujarat,Urban,60+,Female,2064806.16,199540.97,1865265.19,176.0
Odisha,Rural,25-34,Female,3084381.01,1229056.13,1855324.8800000004,262.0
Andhra Pradesh,Rural,60+,Male,1996843.12,171807.95,1825035.17,165.0
Gujarat,Rural,60+,Male,2063449.61,252415.95,1811033.66,224.0
Uttar Pradesh,Urban,60+,Female,2088990.03,290389.29000000004,1798600.74,286.0
Odisha,Rural,60+,Male,2003768.58,268863.6,1734904.98,187.0
Chhattisgarh,Rural,45-59,Female,1811324.71,95587.88,1715736.83,192.0
Assam,Rural,35-44,Female,2330659.07,641259.58,1689399.4899999998,241.0
Uttar Pradesh,Urban,60+,Male,2186934.68,531105.3200000001,1655829.3599999996,295.0
Maharashtra,Urban,60+,Male,2823333.55,1167674.1800000002,1655659.3699999996,285.0
Assam,Rural,45-59,Male,2319206.1900000004,687836.56,1631369.6300000004,251.0
Gujarat,Rural,35-44,Female,2219181.3200000003,594742.27,1624439.0500000005,242.0
West Bengal,Urban,60+,Male,2057493.8400000003,437817.96,1619675.8800000004,224.0
Bihar,Rural,25-34,Male,6725155.5,5106936.789999999,1618218.710000001,509.0
West Bengal,Rural,15-24,Male,4682667.41,3082612.21,1600055.2000000002,329.0
Karnataka,Rural,45-59,Male,3117710.2800000003,1527111.05,1590599.2300000002,295.0
Gujarat,Rural,15-24,Female,2948253.85,1357767.86,1590485.9900000002,348.0
Gujarat,Urban,60+,Male,2184489.9799999995,619265.9099999999,1565224.0699999996,159.0
Andhra Pradesh,Rural,45-59,Male,2727312.2900000005,1220445.53,1506866.7600000005,233.0
Chhattisgarh,Rural,45-59,Male,1766134.38,264299.03,1501835.35,190.0
Jharkhand,Rural,35-44,Female,1763934.6100000003,278786.53,1485148.0800000003,215.0
Odisha,Rural,15-24,Female,2994632.7300000004,1511421.83,1483210.9000000004,254.0
Karnataka,Rural,35-44,Female,2735257.68,1254389.9500000002,1480867.7299999995,263.0
West Bengal,Urban,45-59,Male,2851909.92,1380094.89,1471815.0299999998,300.0
Andhra Pradesh,Rural,35-44,Female,2246093.63,785543.29,1460550.34,188.0
Telangana,Rural,45-59,Female,1694425.52,239014.92,1455410.6,170.0
Tamil Nadu,Urban,60+,Male,2075570.68,635949.78,1439620.9,191.0
Jharkhand,Rural,45-59,Female,1519295.34,91867.22,1427428.12,194.0
Punjab,Rural,60+,Male,1561375.4700000002,165971.68,1395403.7900000005,157.0
Rajasthan,Rural,15-24,Male,4629865.930000001,3256223.7800000003,1373642.1500000004,441.0
Maharashtra,Rural,35-44,Male,3912027.9,2558082.73,1353945.1700000004,406.0
Madhya Pradesh,Urban,45-59,Female,1716787.56,383068.46,1333719.1,341.0
Kerala,Urban,60+,Female,1543091.54,217916.25,1325175.29,159.0
Chhattisgarh,Rural,35-44,Female,1453871.71,133367.96,1320503.75,149.0
Rajasthan,Rural,35-44,Male,3096799.46,1781564.0699999998,1315235.39,306.0
Gujarat,Rural,25-34,Female,2297514.15,987716.45,1309797.6999999995,250.0
Chhattisgarh,Rural,25-34,Female,2094990.64,786453.6099999999,1308537.0300000005,216.0
Tamil Nadu,Urban,45-59,Male,3225333.33,1917098.78,1308234.55,268.0
Maharashtra,Urban,45-59,Male,5135580.16,3832947.5,1302632.66,474.0
Jharkhand,Rural,25-34,Female,2060234.36,764938.2999999999,1295296.06,248.0
West Bengal,Urban,35-44,Female,2031114.65,742083.0199999999,1289031.6300000004,222.0
Gujarat,Urban,35-44,Female,2367042.7,1088877.4,1278165.2999999998,206.0
Jharkhand,Rural,45-59,Male,1603687.66,338865.77,1264821.89,198.0
Madhya Pradesh,Rural,25-34,Male,4455389.15,3214612.05,1240777.1000000006,408.0
Telangana,Rural,60+,Female,1239291.6099999994,9881.25,1229410.3599999994,116.0
Madhya Pradesh,Rural,15-24,Male,5284261.879999999,4056251.09,1228010.789999999,498.0
Uttar Pradesh,Urban,15-24,Male,4827654.720000001,3610914.43,1216740.290000001,628.0
Assam,Rural,60+,Male,1436314.01,221092.83,1215221.18,153.0
Karnataka,Urban,45-59,Female,2024630.65,821281.18,1203349.4699999995,174.0
Jharkhand,Rural,60+,Female,1199677.29,14715.44,1184961.85,156.0
Maharashtra,Rural,15-24,Male,5546775.94,4366313.45,1180462.4899999993,503.0
Kerala,Urban,45-59,Female,2069731.31,900160.98,1169570.33,212.0
Jharkhand,Rural,15-24,Female,2278938.41,1114398.05,1164540.36,272.0
Chhattisgarh,Rural,60+,Female,1162668.4200000002,0.0,1162668.4200000002,110.0
Odisha,Rural,15-24,Male,2874415.27,1753072.46,1121342.8099999996,232.0
Maharashtra,Urban,25-34,Female,4467238.65,3348233.24,1119005.41,400.0
Andhra Pradesh,Urban,45-59,Female,1737502.73,625351.01,1112151.72,178.0
Haryana,Rural,60+,Female,1131165.5,36784.19,1094381.31,131.0
Chhattisgarh,Rural,15-24,Female,1992654.54,905222.36,1087432.1800000002,213.0
Andhra Pradesh,Rural,25-34,Female,2889410.42,1817772.3,1071638.12,228.0
Punjab,Rural,45-59,Female,1446150.83,375712.19,1070438.64,138.0
Telangana,Rural,35-44,Female,1649522.19,579483.76,1070038.43,157.0
Jharkhand,Rural,60+,Male,1077103.4,16161.07,1060942.3299999998,138.0
