state,adults,capable_adults,excluded_adults,sample_n,female_rate,male_rate,gender_gap_pp,n_fsu,review_status,matches_published_precision,uncertainty_status,txn_volume_mn,txn_value_cr,txn_per_adult,txn_per_capable_adult,fitted_classified_txn_per_adult,residual,included_in_fit,transaction_scope,comparison_label
Andaman & N. Islands,355771.6,154525.52000000002,201246.08,230.0,0.3132344099456733,0.5372010684125889,22.396665846691555,11,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,10.62,1760.95,29.85061202187022,68.7265119703205,26.1579547092023,3.692657312667919,True,Classified only; unknown state coverage,Above descriptive fitted line
Andhra Pradesh,35719228.88,19437775.0,16281453.880000005,3147.0,0.4321444581000747,0.6634503381028017,23.130588000272702,152,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,1539.66,273587.18,43.104513962844536,79.20968320705431,43.14764925619275,-0.0431352933482145,True,Classified only; unknown state coverage,Below descriptive fitted line
Arunachal Pradesh,971283.36,486009.56000000006,485273.7999999998,1993.0,0.4470850753341591,0.5509416164378949,10.385654110373576,81,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,49.95,6963.82,51.42680504688148,102.77575609829567,36.37244870048816,15.05435634639332,True,Classified only; unknown state coverage,Above descriptive fitted line
Assam,25375689.23,13035371.14,12340318.089999996,3988.0,0.4050873048411041,0.6176086642424684,21.252135940136423,157,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,530.4300000000001,65996.33,20.903077555541145,40.691591693337855,38.43214003914092,-17.529062483599773,True,Classified only; unknown state coverage,Below descriptive fitted line
Bihar,71290022.46000001,30775090.81,40514931.650000006,7028.0,0.2902783834490385,0.5721732520610284,28.189486861198983,279,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,1187.58,183871.57,16.658432120235858,38.58900067369127,25.747996462567,-9.089564342331144,True,Classified only; unknown state coverage,Below descriptive fitted line
Chandigarh,668516.0399999999,523171.0,145345.03999999998,106.0,0.6306716634024433,0.9275716094348794,29.68999460324361,6,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,70.41,8848.71,105.32282815532744,134.58314776621793,80.02198105085736,25.30084710447008,True,Classified only; unknown state coverage,Above descriptive fitted line
Chhattisgarh,20951187.78,7665433.359999999,13285754.420000002,3582.0,0.2663817673744796,0.4673664822075828,20.09847148331032,145,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,374.19000000000005,51085.92999999999,17.860085257657886,48.81524402163743,15.567855026468491,2.292230231189393,True,Classified only; unknown state coverage,Above descriptive fitted line
D&N Haveli & Daman & Diu,595587.0800000001,393520.83,202066.2500000001,281.0,0.4081003025942965,0.8651973546003077,45.70970520060112,11,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,30.66,3179.9300000000003,51.47861837432739,77.91201294223738,61.173950700480816,-9.695332326153428,True,Classified only; unknown state coverage,Below descriptive fitted line
Delhi,12121669.39,8141490.42,3980178.9700000007,1400.0,0.5641018257794915,0.7532657788165865,18.9163953037095,65,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,1189.82,152625.36,98.15644707993476,146.14277467884068,62.86297185698892,35.29347522294583,True,Classified only; unknown state coverage,Above descriptive fitted line
Goa,887378.3499999999,487080.56,400297.7899999999,178.0,0.5209711301253659,0.5770339193783602,5.606278925299435,8,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,97.3,13611.61,109.64883242869293,199.76161643568776,43.87708673369613,65.77174569499678,True,Classified only; unknown state coverage,Above descriptive fitted line
