state,state_code,sector_name,age_band,gender_name,n_unweighted,adult_pop,upi_capable_rate,upi_capable_pop,unreliable,gap_pop
Uttar Pradesh,09,Rural,45-59,Female,761.0,9480878.530000001,0.0802159839505928,760518.0,False,8720360.530000001
Uttar Pradesh,09,Rural,15-24,Female,1088.0,13658224.690000001,0.41964586467789317,5731617.51,False,7926607.180000002
Uttar Pradesh,09,Rural,45-59,Male,802.0,9956358.27,0.2210486716444767,2200839.77,False,7755518.5
Uttar Pradesh,09,Rural,25-34,Female,936.0,11435917.11,0.33570645826410683,3839111.23,False,7596805.879999999
Uttar Pradesh,09,Rural,35-44,Female,713.0,8975347.5,0.19969061587866097,1792292.67,False,7183054.83
Uttar Pradesh,09,Rural,60+,Female,504.0,6171054.92,0.036539143294482296,225485.06,False,5945569.86
Uttar Pradesh,09,Rural,60+,Male,523.0,6217862.55,0.09758323782824693,606759.1599999999,False,5611103.39
Bihar,10,Rural,15-24,Female,731.0,9191337.809999999,0.40388361158493863,3712230.71,False,5479107.099999999
West Bengal,19,Rural,45-59,Female,396.0,5730394.4,0.04620685445315945,264783.5,False,5465610.9
Uttar Pradesh,09,Rural,15-24,Male,1246.0,15739879.02,0.667872343023892,10512229.88,False,5227649.139999999
Uttar Pradesh,09,Rural,35-44,Male,705.0,8941763.32,0.45129638814908823,4035385.4899999998,False,4906377.83
Maharashtra,27,Rural,45-59,Female,548.0,5402146.61,0.09823580111980706,530684.2,False,4871462.41
Bihar,10,Rural,45-59,Female,419.0,5550747.609999999,0.13786288330266921,765242.07,False,4785505.539999999
Bihar,10,Rural,35-44,Female,466.0,5922179.33,0.20439400642060596,1210457.96,False,4711721.37
Bihar,10,Rural,25-34,Female,550.0,7269744.220000001,0.3872250487514401,2815027.06,False,4454717.16
West Bengal,19,Rural,45-59,Male,364.0,5227073.4,0.2333391970351899,1219681.11,False,4007392.29
West Bengal,19,Rural,25-34,Female,410.0,5792295.17,0.31192241710292534,1806746.71,False,3985548.46
West Bengal,19,Rural,60+,Male,295.0,4213387.68,0.07147299106357098,301143.42000000004,False,3912244.26
Bihar,10,Rural,45-59,Male,417.0,5509757.98,0.3139066464040948,1729549.65,False,3780208.3300000005
Maharashtra,27,Rural,60+,Male,453.0,4088638.45,0.11652191697214019,476415.99,False,3612222.46
Maharashtra,27,Rural,60+,Female,419.0,3682056.6900000004,0.03338834796701622,122937.79000000001,False,3559118.9000000004
West Bengal,19,Rural,35-44,Female,304.0,4303240.16,0.1761442498714736,757991.01,False,3545249.1500000004
