state,volume_mn,value_cr,state_code,n_unweighted,adult_pop,upi_capable_rate,upi_capable_pop,unreliable,uncertainty_status,matches_published_precision,review_status,allocated_mn,total_volume_mn,txn_per_adult,txn_per_capable_adult,method,included_in_fit,fitted_classified_txn_per_adult,residual,comparison_label,transaction_scope
Andaman & N. Islands,10.620000000000001,1760.95,35,230.0,355771.6,0.43433910969846956,154525.52000000002,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,10.620000000000001,29.85061202187022,68.7265119703205,excluded,True,26.1579547092023,3.6926573126679187,Above descriptive fitted line,Classified only; unknown state coverage
Andhra Pradesh,1539.66,273587.18,28,3147.0,35719228.88,0.544182380456809,19437775.0,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,1539.66,43.104513962844536,79.20968320705431,excluded,True,43.14764925619275,-0.04313529334821453,Below descriptive fitted line,Classified only; unknown state coverage
Arunachal Pradesh,49.95,6963.82,12,1993.0,971283.3599999999,0.5003787566174305,486009.56000000006,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,49.95,51.42680504688148,102.77575609829567,excluded,True,36.372448700488164,15.05435634639332,Above descriptive fitted line,Classified only; unknown state coverage
Assam,530.4300000000001,65996.33,18,3988.0,25375689.229999997,0.5136952546135829,13035371.14,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,530.4300000000001,20.903077555541145,40.691591693337855,excluded,True,38.43214003914092,-17.529062483599773,Below descriptive fitted line,Classified only; unknown state coverage
Bihar,1187.58,183871.57,10,7028.0,71290022.46000001,0.4316886115061549,30775090.810000002,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,1187.58,16.658432120235858,38.58900067369127,excluded,True,25.747996462567002,-9.089564342331144,Below descriptive fitted line,Classified only; unknown state coverage
Chandigarh,70.41,8848.71,04,106.0,668516.0399999999,0.782585560699486,523170.99999999994,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,70.41,105.32282815532744,134.58314776621793,excluded,True,80.02198105085736,25.30084710447008,Above descriptive fitted line,Classified only; unknown state coverage
Chhattisgarh,374.19000000000005,51085.92999999999,22,3582.0,20951187.78,0.36587106375503065,7665433.359999999,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,374.19000000000005,17.860085257657886,48.815244021637426,excluded,True,15.567855026468493,2.292230231189393,Above descriptive fitted line,Classified only; unknown state coverage
D&N Haveli & Daman & Diu,30.66,3179.9300000000003,25,281.0,595587.0800000001,0.6607276135002794,393520.83,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,30.66,51.47861837432739,77.91201294223738,excluded,True,61.173950700480816,-9.695332326153427,Below descriptive fitted line,Classified only; unknown state coverage
Delhi,1189.82,152625.36,07,1400.0,12121669.39,0.6716476219617469,8141490.42,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,1189.82,98.15644707993475,146.14277467884068,excluded,True,62.86297185698892,35.29347522294583,Above descriptive fitted line,Classified only; unknown state coverage
Goa,97.3,13611.61,30,178.0,887378.3499999999,0.5488984039333392,487080.56,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,97.3,109.64883242869291,199.76161643568776,excluded,True,43.87708673369613,65.77174569499678,Above descriptive fitted line,Classified only; unknown state coverage
Gujarat,1369.53,208581.07,24,4961.0,52938359.61000001,0.4980861534859333,26367863.909999996,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,1369.53,25.87027648928693,51.93936090820791,excluded,True,36.01784685139262,-10.14757036210569,Below descriptive fitted line,Classified only; unknown state coverage
