state,state_code,n_unweighted,adult_pop,upi_capable_rate,upi_capable_pop,unreliable,gap_pop,rural_share_of_adults,female_rate,male_rate,gender_gap_pp,npci_monthly_txn_volume,npci_monthly_txn_value_cr
Chandigarh,04,106.0,668516.0399999999,0.782585560699486,523170.99999999994,False,145345.03999999998,0.0,0.6306716634024433,0.9275716094348794,29.68999460324361,,
Mizoram,15,1297.0,701156.8200000001,0.6724786189771355,471512.97,False,229643.8500000001,0.5156849790036984,0.6462362563845739,0.6967313479310586,5.049509154648469,,
Delhi,07,1400.0,12121669.39,0.6716476219617469,8141490.42,False,3980178.9700000007,0.03432301992522831,0.5641018257794915,0.7532657788165865,18.9163953037095,,
Sikkim,11,773.0,529548.51,0.6674467462858125,353445.43000000005,False,176103.07999999996,0.7205367644222056,0.614877227755684,0.716713654113534,10.183642635785006,,
D&N Haveli & Daman & Diu,25,281.0,595587.0800000001,0.6607276135002794,393520.83,False,202066.25000000006,0.24839585170316314,0.4081003025942965,0.8651973546003077,45.709705200601114,,
Himachal Pradesh,02,1037.0,5194234.140000001,0.6425669020765398,3337642.94,False,1856591.2000000007,0.8678441957951475,0.5432107986919276,0.7378403897847041,19.462959109277655,,
Telangana,36,2830.0,26161366.7,0.6346006972946104,16602021.55,False,9559345.149999999,0.5411981591925011,0.5305971848539331,0.7440070001080988,21.34098152541657,,
Karnataka,29,4501.0,49100416.41,0.6308359980362944,30974310.189999998,False,18126106.22,0.5789574528783513,0.5344711963076701,0.729894015450252,19.542281914258187,,
Puducherry,34,265.0,825519.1799999999,0.6307580642765925,520702.87999999995,False,304816.3,0.39431412120551823,0.5643501323835283,0.6974597127076826,13.310958032415432,,
Ladakh,37,168.0,113592.38,0.6237789894005215,70856.54000000001,False,42735.84,0.784147052821677,0.4425489259994865,0.7740231773577323,33.147425135824584,,
Manipur,14,2145.0,2232754.2600000002,0.6158372932630749,1375013.3399999999,False,857740.9200000004,0.6917003217362577,0.5416137762217568,0.6903035669435955,14.868979072183874,,
Kerala,32,2356.0,25893920.19,0.5982236403888445,15490355.2,False,10403564.990000002,0.4900938867843169,0.531523328595988,0.6771130703268172,14.558974173082916,,
Haryana,06,2508.0,20778716.4,0.5931015613649745,12323889.14,False,8454827.259999998,0.5788668437671155,0.4483978603477686,0.7273909947841337,27.899313443636515,,
Jammu & Kashmir,01,2312.0,8117968.81,0.5812406995439048,4718493.87,False,3399474.9399999995,0.7618345579723902,0.4881481646028439,0.6620694268148458,17.392126221200193,,
Maharashtra,27,8601.0,92643022.64999999,0.5630711399289604,52164612.37,False,40478410.279999994,0.521686097749532,0.43033259210904934,0.6870257370479166,25.669314493886723,,
Goa,30,178.0,887378.3499999999,0.5488984039333392,487080.56,False,400297.78999999986,0.48233147675960325,0.5209711301253659,0.5770339193783602,5.606278925299435,,
