state_code,official_pct,source_url,source_table
01,58.2,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
02,66.2,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
03,49.9,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
04,80.1,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
05,53.7,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
06,59.6,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
07,67.7,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
08,47,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
09,40.5,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
10,43.4,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
11,66.9,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
12,51.6,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
13,53.3,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
14,64.1,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
15,69.9,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
16,22.8,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
17,53.6,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
18,51.6,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
19,36.8,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
20,41.4,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
21,40,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
22,36.9,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
23,45.7,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
24,49.8,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
25,66.1,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
27,56.7,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
28,54.6,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
29,63.5,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
30,57.9,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
31,56,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
32,60,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
33,53.1,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
34,64.9,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
35,44.1,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
36,63.5,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
37,62.5,https://mospi.gov.in/sites/default/files/publication_reports/CMST_report_m.pdf,Table 12 page A85 age 15+ All Person
