state,state_code,adult_pop,upi_capable_rate,gap_pop,npci_monthly_txn_volume,npci_monthly_txn_value_cr,source_note
Chandigarh,04,668516.0399999999,0.782585560699486,145345.03999999998,,,
Mizoram,15,701156.8200000001,0.6724786189771355,229643.8500000001,,,
Delhi,07,12121669.39,0.6716476219617469,3980178.9700000007,,,
Sikkim,11,529548.51,0.6674467462858125,176103.07999999996,,,
D&N Haveli & Daman & Diu,25,595587.0800000001,0.6607276135002794,202066.2500000001,,,
Himachal Pradesh,02,5194234.140000001,0.6425669020765398,1856591.200000001,,,
Telangana,36,26161366.7,0.6346006972946104,9559345.15,,,
Karnataka,29,49100416.41,0.6308359980362944,18126106.22,,,
Puducherry,34,825519.1799999999,0.6307580642765925,304816.3,,,
Ladakh,37,113592.38,0.6237789894005215,42735.84,,,
Manipur,14,2232754.26,0.6158372932630749,857740.9200000004,,,
Kerala,32,25893920.19,0.5982236403888445,10403564.990000002,,,
Haryana,06,20778716.4,0.5931015613649745,8454827.259999998,,,
Jammu & Kashmir,01,8117968.81,0.5812406995439048,3399474.9399999995,,,
Maharashtra,27,92643022.65,0.5630711399289604,40478410.28,,,
Goa,30,887378.3499999999,0.5488984039333392,400297.7899999999,,,
Lakshadweep,31,42170.35,0.5488794852307368,19023.91,,,
Andhra Pradesh,28,35719228.88,0.544182380456809,16281453.880000005,,,
Uttarakhand,05,7607290.890000001,0.5352936043701096,3535156.730000001,,,
Meghalaya,17,2074431.99,0.5301200691568587,974733.9599999996,,,
Nagaland,13,936803.97,0.5291335710287394,441109.5399999999,,,
Tamil Nadu,33,55911357.57000001,0.5276585710347651,26409250.53000001,,,
Assam,18,25375689.23,0.5136952546135829,12340318.089999996,,,
Arunachal Pradesh,12,971283.36,0.5003787566174305,485273.7999999998,,,
Gujarat,24,52938359.61000001,0.4980861534859333,26570495.70000001,,,
Punjab,03,24789943.54,0.4962255041102042,12488541.31,,,
Rajasthan,08,47737997.43,0.4682110501760107,25386539.52,,,
Madhya Pradesh,23,55448136.56,0.4551257902543298,30212259.590000004,,,
Andaman & N. Islands,35,355771.6,0.4343391096984695,201246.08,,,
Bihar,10,71290022.46000001,0.4316886115061549,40514931.650000006,,,
Jharkhand,20,21707428.64,0.414221717787022,12715740.260000002,,,
Uttar Pradesh,09,136191055.68,0.4010259650114491,81574906.15,,,
Odisha,21,32863714.75,0.3992000551307122,19744518.01,,,
Chhattisgarh,22,20951187.78,0.3658710637550306,13285754.420000002,,,
West Bengal,19,71338593.45,0.3654203657417357,45270018.54000001,,,
Tripura,16,3102539.2800000003,0.227370210764906,2397114.2700000005,,,
